35THR N047.53.18.161 E091.40.03.850
MN102 N049.30.47.700 E100.29.10.399
MN103 N049.36.43.999 E100.27.54.698
MN104 N049.37.47.100 E100.20.23.701
MN105 N049.40.47.100 E099.58.58.800
MN106 N049.35.25.800 E099.57.10.400
MN28M N049.39.15.199 E100.09.57.600
MN31 N050.02.46.720 E091.58.19.312
MODOT N048.40.23.999 E104.06.33.001
MODUN N046.12.16.999 E111.40.50.999
MORIT N042.01.59.999 E102.49.00.001
NARAN N044.46.04.001 E104.59.58.999
NIGOR N050.29.24.000 E091.25.48.000
NIXAL N043.12.42.001 E110.52.59.999
NOMIN N048.00.36.979 E106.32.35.819
NOMUN N048.31.54.001 E104.06.07.999
NOPUS N049.37.59.999 E089.25.59.999
OVOOT N043.00.46.001 E101.19.59.999
PARAL N046.44.44.002 E097.06.24.001
PASON N046.50.43.001 E105.11.55.000
PICAS N046.42.06.001 E114.07.43.000
PIKOM N048.55.14.002 E096.59.17.002
PIMIT N050.31.16.000 E106.04.35.000
POLHO N044.46.59.999 E113.15.00.000
POMAZ N046.50.07.001 E106.47.26.999
PRING N048.57.40.000 E108.18.15.001
RW14 N047.51.10.249 E106.45.12.719
SADOG N047.09.50.000 E102.03.41.000
SAGIL N046.46.23.002 E106.02.11.000
SAGIM N049.00.51.001 E096.41.30.998
SANOT N047.55.50.999 E107.42.45.000
SARAN N048.13.54.998 E103.24.37.001
SARUL N048.30.51.001 E115.47.12.001
SERAT N047.51.43.999 E103.22.18.001
SERNA N050.18.29.999 E106.28.05.999
SETEM N049.36.34.999 E099.55.05.999
SILUS N046.48.38.002 E097.12.38.002
SONDU N047.05.12.998 E105.33.10.001
SUDAL N046.10.18.998 E108.10.18.998
SULOK N049.53.60.000 E115.45.00.000
SUMBE N047.34.08.000 E118.35.58.999
SUMOR N045.09.32.000 E110.32.58.999
TAMSA N046.57.16.999 E116.16.34.000
TANAN N047.26.02.000 E106.04.14.999
TANUK N045.15.15.998 E097.55.05.002
TARAG N047.27.56.002 E104.05.56.000
TARIA N047.33.47.002 E102.29.48.001
TAYAN N048.02.03.001 E109.43.59.999
TEBUS N047.25.05.999 E090.27.42.001
TEKOR N044.00.56.002 E100.38.57.001
TEMEN N048.03.54.000 E099.35.21.998
TEMUK N043.46.25.000 E105.34.43.000
TOSOG N046.37.44.000 E104.53.03.001
TSONJ N049.13.41.999 E097.47.31.999
